时间,战场,目标链接,对方原话,发出内容,场景,概念,正文术语,状态,存活校验,备注
2026-08-18T23:46:57,回复,/user/profile/6776768d000000001801666b?channelType=web_engagement_notification_page&channelTabId=mentions&xsec_token=ABf9cezePf2VWd4x121alequ90HZiXUzhslxeWM-qVRzU%3D&xsec_source=pc_notice,我比较怂，不敢正面硬钢，就偷偷做仪式扎他，还挺管用的，他现在经常请病假，每次都好多天，估计快被辞退了,怂到不敢正面说，这个感受挺真实的，那如果不硬钢，你有没有想过用什么话把当面的事说出来？,,,,已发送,,不妄|4天前|我比较怂，不敢正面硬钢，就偷偷做仪式扎他，还挺管用的，他现在
2026-08-18T23:46:19,回复,/user/profile/59eeaef311be107cd27ba8d9?channelType=web_engagement_notification_page&channelTabId=mentions&xsec_token=ABHflXw9y7z6Ihloimst8gyqPiMJcOtmn-yNUN78MMumA%3D&xsec_source=pc_notice,A,"这条是哪篇笔记下的？终面那篇的A是""期望多少""接法，其他三篇A意思不一样，报下笔记标题我就发~",,,,草稿,,👼|5天前|A
2026-08-18T23:46:27,回复,/user/profile/63ec525700000000270298fb?channelType=web_engagement_notification_page&channelTabId=mentions&xsec_token=AB4ty-_Ygp6Xn2DVO0k6wBF0PbWVeu-EZA0I0fdRJKrw8%3D&xsec_source=pc_notice,说了也白说，最多他在给你画个大饼。明年好好干接多点业务。继续利用你,这画饼被明年好好干接多点业务是他自己说的还是你猜的？,,,,草稿,,难得糊涂|08-10|说了也白说，最多他在给你画个大饼。明年好好干接多点业务。继续
2026-08-19T20:45:10,外部,https://www.xiaohongshu.com/explore/684fb0d4000000002202810d?xsec_token=ABFsmDlWxDSCePV3wIW5XShOYLX8UKUF_3HYvW9jsA1Fc=&xsec_source=pc_search,刷到这个视频还蛮唏嘘的，我是今年应届生，去年秋招面了一个待遇好的铁路局，我学校是有铁路背景的，但是我本人不是铁路子女且是女生，从一开始就有点否定自己，整个面试自我感觉状态不是很好，但是也比较诚恳，可能因为我本身成绩比较好，面试问了蛮多的，但,其实爬杆那题不是考体能，是考你崩了之后还能不能稳住往下答，你已经诚恳到最后一题了，可惜卡在自己先泄气那关。,行为面试,结构力,,已发送,,实际已发出（评论数 977→978）；第一版判据「输入框清空」误判为失败
2026-08-19T20:57:13,外部,https://www.xiaohongshu.com/explore/65b74425000000002c036426?xsec_token=ABkH44Xactgq95qnJ9hzEsuNKy9hALfaQOoEv2zRFcLDU=&xsec_source=pc_search,招聘岗位上如果有标明待遇区间，岗位要求职责和福利，这样的回答只会让HR感觉，投递简历之前并没有详细了解岗位要求，有海投的嫌疑，如果待遇区间离自己期望待遇差异太大，为什么又要投递呢？说明你有接受的准备。楼主的视频只适合哪些标注为面谈的岗位，这,"已标区间的岗位就直接说""期望在区间内，接受面议""，别反问HR预算，那招式只适合面谈岗",谈薪,说服力,,已发送,,评论数 1003→1004
2026-08-19T20:42:34,外部,https://www.xiaohongshu.com/explore/6a2390340000000007024dd3?xsec_token=AB76IfDxIdEPICpwQlmfp5ETGg5l127jui42K3m9liRR4=&xsec_source=pc_search,这种回复方法就是树敌，而且是到处树敌。因为你的前台词就是把对方问你的话当成是敌意，是一种比较敏感的自保加攻击。其实正常情况有的时候大家只是相互用这种方法套近乎或者增加一下话，以及交流的契机。最好的方法就是装糊涂，或者大大方方的讲这个还真的不,"装糊涂那句挺实用，直接说""这我还真不清楚，是不是有啥情况呀""，比防御话术强，至少给对方台阶下。",被冒犯时怎么回,边界力/化解力,,草稿,,
2026-08-19T21:03:28,首评,https://www.xiaohongshu.com/explore/6a7fc84b00000000270201a2,,A是普通岗位见总经理的、B是被问不会工具的、C是前面已经聊崩的，你是哪个，回个字母就行。对应那句话/那件事我直接甩评论区。,,,,发送失败,,没打开笔记页（当前 https://www.xiaohongshu.com/404?source=/404/sec_XUKPgbRs?red）；根因已查明（08-19 晚）：cdp profile 的主站登录态掉了，笔记页盖了登录墙。已加 LOGIN: 判据把它和风控提示分开，不再报成这种查不到根因的错
2026-08-19T22:20:10,首评,https://www.xiaohongshu.com/explore/6a7e8c010000000025002577?xsec_token=ABvRNtXywJOr5ApkNCcEDY_S8qufV7EwvyOV9QnkGCWSg%3D&xsec_source=pc_user,,A被打断一次B连环打断两次以上，回字母，A给你现场能用的结论话术，B给你页面取舍怎么跳,,,,已发送,,评论数 0→1
2026-08-20T19:34:50,首评,https://www.xiaohongshu.com/explore/6a7e76d3000000002903126a?xsec_token=ABvRNtXywJOr5ApkNCcEDY_byrlc6LzaV4irrExMvX8H4%3D&xsec_source=pc_user,,"A 区间写着你还是心里没底
B HR啥都不说就""面谈""
C 他拿年包套你月薪
回个字母，把那种情况下开口的第一句话发你",,,,发送失败,,"回读对不上（框里是 'A 区间写着你还是心里没底B HR啥都不说就""面谈""C 他拿'），已清空不发"
2026-08-20T19:45:06,首评,https://www.xiaohongshu.com/explore/6a7bd428000000002402471a?xsec_token=ABn6XPCZyZkYhgRatqJhrFv1UzcGVvu7hUmjzCzuC-6T8%3D&xsec_source=pc_user,,你今天是A、B还是C？回个字母就行，我把对应第一句话原句发你。,,,,已发送,,评论数 0→1
